"x"	"y"	"Elevation"	"EC"	"SOC"	"TN"	"CEC"	"pH"	"Pppm"	"Mn"	"Cu"	"Zn"	"WHC"	"Sand"	"Clay"	"Kppm"	"Cappm"	"Nappm"	"Mgppm"	"Tm"	"PPanual"	"TvsPP"	"LN_Kda"	"id"
"1"	4601178.94540923	6353952.9224547	105	0.04	15.08	0.1	19.9	6.9	34.76	202.5	2.4	0.503	25.4	13.8	28.8	624	2162	11.5	363.6	170	866	0.196304849884527	0.837270047171828	1
"2"	4584225.03309869	6398495.31543188	113	0.175	17.38	0.17	18.3	5.6	87.81	206	2.9	0.839	25.9	10.9	29.3	776.1	1654	9.2	460.8	172	869	0.197928653624856	1.54115907168081	2
"3"	4581953.15245004	6377343.13965316	111	0.086	15.1	0.14	16.88	6.7	17.17	170.4	2.3	0.98	24.7	14.3	24	694.2	2150	29.9	288	171	854	0.200234192037471	1.30833281965018	3
"4"	4577573.60351538	6356049.15620598	86	0.305	8.73	0.1	15.4	8.4	17.99	222.5	2	0.048	23.6	19.9	18.3	752.7	1612	241.5	307.2	170	850	0.2	1.13783300182139	4
"5"	4584625.49962851	6335573.06889302	111	0.147	25.76	0.199	20	6	60.11	209.8	3.1	3.759	28	15.8	27.5	663	2282	345	355.2	168	850	0.197647058823529	1.77495235091167	5
"6"	4580658.26821763	6317729.48150439	112	0.09	16.14	0.125	22.25	7.1	40.38	208.3	3	2.058	25.4	17.7	37.5	819	2390	437	439.2	167	842	0.19833729216152	1.36353737399727	6
"7"	4563012.63980749	6574073.84838497	120	0.43	23.76	0.19	28.5	6.8	167.64	205.5	2.5	2.695	25	5.8	31.2	780	2136	11.5	355.2	181	877	0.206385404789054	1.54115907168081	7
"8"	4566062.83483057	6556724.26791602	114	0.26	13.66	0.14	28.8	6.4	74.52	256.5	2.3	0.309	25.3	5.2	33.4	897	2700	299	324	179	877	0.204104903078677	1.31908561142644	8
"9"	4562359.22943165	6537544.60801194	109	0.24	12.6	0.14	25.88	6	74.62	202.1	2.3	0.006	24	8.4	30.5	928.2	2312	11.5	300	177	866	0.204387990762125	1.37624402526639	9
"10"	4559393.60579488	6523296.23396213	103	0.156	13.46	0.16	22.7	5.8	80.14	133.7	3.1	1.235	25.1	3.3	32.4	873.6	2296	20.7	280.8	176	860	0.204651162790698	1.36863942588117	10
"11"	4560306.10963948	6499235.15625979	112	0.595	10.95	0.12	13.63	6.1	121.23	161.2	2.1	3.683	22.6	22.5	21.2	557.7	1768	133.4	283.2	175	861	0.203252032520325	1.04731899428056	11
"12"	4560573.72303968	6489073.22862292	111	0.22	13.36	0.16	22	5.8	73.7	251.9	2.2	2.145	25.8	20.3	24.3	846.3	1856	23	242.4	174	861	0.202090592334495	1.4655675420144	12
"13"	4565009.19882407	6461253.17006663	111	0.705	12.68	0.16	22.1	6.3	48.96	216.6	3.2	1.404	25.2	9.2	23	897	1680	736	264	173	863	0.200463499420626	1.08856195281461	13
"14"	4562150.77980874	6417693.81574449	115	0.09455	23.09	0.18	17.2	6.1	92.71	219.6	2.8	2.771	27.3	10.5	23.9	900.9	1896	41.4	297.6	170	856	0.198598130841121	1.37371557891303	14
"15"	4562531.21266922	6397522.04805775	110	0.0615	22.12	0.152	18	6.7	61.13	177.6	3.3	2.72	28.2	11.1	24.3	834.6	2192	71.3	326.4	170	858	0.198135198135198	1.52388002407245	15
"16"	4561312.48060997	6377572.58993578	117	0.195	17.05	0.15	14.5	6	65.11	154.1	5.9	2.209	22.6	21.9	18.6	807.3	1808	71.3	14.4	170	856	0.198598130841121	1.19088756477728	16
"17"	4558982.9820313	6356914.9545832	104	0.04085	14.2	0.14	25.09	6.5	47.12	172.7	3.1	1.429	25.9	16.8	30.1	748.8	2648	39.1	288	169	846	0.199763593380615	1.19694818938897	17
"18"	4565162.45288905	6337419.90635068	107	0.49	9.62	0.15	16.87	5.7	22.8	142.4	2.3	0.657	24.4	21.6	26.1	799.5	1776	73.6	470.4	168	839	0.200238379022646	1.00795792039998	18
"19"	4561099.94894459	6318362.15286944	117	0.0705	18.02	0.15	18.47	6.5	42.73	122.4	2.6	4.315	26.6	18.4	26.6	713.7	2304	34.5	379.2	167	830	0.201204819277108	1.34286480319255	19
"20"	4560477.76634694	6297194.63035008	124	0.141	12.9	0.112	13.8	5.8	11.86	97.1	2.1	0.211	18.6	31.3	23.3	624	1936	34.5	350.4	166	821	0.202192448233861	0.867100487683383	20
"21"	4561851.46280823	6278282.18518505	121	0.138	15.79	0.141	14.1	5.5	19.12	221	1.5	1.193	18.4	41.4	19.1	780	1744	75.9	350.4	165	814	0.202702702702703	1.01523067972906	21
"22"	4540082.38501315	6555510.1249491	92	0.23	11.06	0.12	17.6	7	44.57	185.1	2.4	1.407	19	29.4	22.7	663	1580	529	292.8	180	859	0.209545983701979	0.845868267577609	22
"23"	4540796.08820768	6533993.33429898	108	0.8	16.85	0.19	24.6	6.2	69.41	246.6	3.1	2.395	22.8	6.2	29.9	975	2280	506	532.8	178	854	0.208430913348946	0.955511445027436	23
"24"	4540164.41057321	6526226.60397149	109	0.47	13.16	0.15	23.4	6.9	34.35	275	3.3	1.286	22.9	11.4	26.2	780	2120	759	264	177	851	0.207990599294947	0.783901543828409	24
"25"	4538367.59938264	6481921.42588517	129	0.11465	7.39	0.12	14.4	6.6	26.88	157.6	2.2	0.643	23.5	28	19	819	1870	299	535.2	173	840	0.205952380952381	0.717839793150317	25
"26"	4548174.70414148	6374504.87778184	112	0.07165	15.44	0.12	14.49	6.6	46.41	144.7	2.5	2.15	20.1	26.4	19.6	764.4	1608	32.2	302.4	168	847	0.198347107438017	0.951657875711446	26
"27"	4540565.40264808	6360284.00593776	118	0.03855	8.59	0.11	14.9	7.8	8.59	143	3.4	0.741	20.4	26.2	21.6	787.8	2040	29.9	412.8	168	840	0.2	0.982078472412158	27
"28"	4545180.94235605	6335433.17766615	118	0.08635	20.27	0.15	14.27	6.8	24.33	146.7	2.5	1.724	20.7	27.6	20.7	756.6	1896	29.9	264	168	827	0.203143893591294	1.25276296849537	28
"29"	4541076.55371991	6295811.24415046	125	0.105	15.42	0.132	15.63	5.89	15.64	76.7	2.3	0.634	19.2	37.2	21.4	670.8	1680	32.2	388.8	166	809	0.205191594561187	1.05431202977153	29
"30"	4534790.88935795	6268219.66640344	123	0.083	13.01	0.122	12.51	5.74	35.06	95.8	0.3	0.444	12.7	64	15.9	682.5	1654	29.9	122.4	166	796	0.208542713567839	0.837247524533702	30
"31"	4548253.91556563	6259646.99505597	136	0.164	15.53	0.149	13.37	5.51	22.08	217.1	0.5	1.404	15.7	56.6	20.9	682.5	1628	29.9	225.6	164	801	0.204744069912609	0.920282753143692	31
"32"	4517742.10950126	6572452.93577881	85	0.3	12.71	0.14	25.6	6.7	122.87	188.4	0.7	1.39	21.9	11	27.7	1092	2400	276	228	181	850	0.212941176470588	1.01884732019925	32
"33"	4521461.52911553	6557665.16709369	104	0.15	10.1	0.1	16.44	6.5	15.54	222	1.2	0.006	20	21.8	23.5	733.2	2432	34.5	376.8	179	851	0.210340775558167	0.806475865866949	33
"34"	4518989.24509746	6539732.76537888	121	0.55	15.6	0.13	28.8	7.6	41.81	211.3	3.7	0.511	27.7	6.9	36.7	741	3160	1127	624	177	844	0.209715639810427	1.16627093714192	34
"35"	4516405.36976035	6524049.81990541	130	0.09	13.84	0.14	25.5	7	59.7	183.4	1.7	0.94	21.4	11.4	26.5	897	2520	299	354	176	837	0.210274790919952	1.19392246847243	35
"36"	4526732.48299332	6506547.91220249	106	0.07	14.07	0.15	24.6	6.9	30.77	157.6	1.2	0.578	22.6	6.3	29.5	858	2020	253	307.2	175	840	0.208333333333333	1.42791603581071	36
"37"	4521574.61984804	6479964.7489377	141	0.13	6.68	0.1	21.6	7.5	28.93	195.8	1.3	0.222	18.7	23	25.4	663	1544	276	614.4	173	826	0.209443099273608	1.31640823365572	37
"38"	4517754.86194486	6451881.72572896	150	0.52	14.56	0.14	24.3	6.5	41.4	160.4	1.2	0.472	25.2	11.2	24.3	897	2020	322	228	170	817	0.208078335373317	1.39871688111845	38
"39"	4520826.00040026	6423615.29915887	144	0.375	16.9	0.15	18.4	6.2	33.63	147.8	2.6	1.412	27.7	2.9	33.6	1287	1320	506	456	169	815	0.207361963190184	1.52822785700856	39
"40"	4521624.73989606	6394650.08307298	138	0.0663	14.46	0.14	17	6.7	28.21	150.7	1.2	1.802	23.8	19.4	22.6	897	1362	322	596.4	167	823	0.202916160388821	1.55814461804655	40
"41"	4523672.62905173	6375094.68091248	133	0.0947	14.03	0.15	16.4	6.3	95.47	126.8	0.9	2.195	20.9	22.5	23.1	975	1962	276	162	167	829	0.201447527141134	1.44691898293633	41
"42"	4522170.36814737	6362395.41120483	120	0.07135	14.2	0.13	15.2	6.5	86.68	157.5	0.7	2.122	18.8	28.8	16.7	897	1760	299	356.4	168	824	0.203883495145631	1.28923264827676	42
"43"	4523958.06322541	6338817.07987273	115	0.2	9.41	0.11	18	6.3	63.79	162.2	0.7	0.154	17.6	29.1	24.1	936	1820	345	276	168	817	0.20563035495716	1.3787660946991	43
"44"	4522529.04161676	6316465.33917686	116	0.04085	12.06	0.139	14.8	6.6	24.64	95.9	0.8	0.873	17.6	35.2	21.1	819	1446	322	229.2	168	810	0.207407407407407	1.46325540225602	44
"45"	4521861.28451391	6297440.42921321	122	0.12	8.59	0.12	13.9	6.8	83.11	56.5	0.2	3.287	12.8	56.6	14.7	936	1366	299	250.8	168	803	0.209215442092154	1.20297230399235	45
"46"	4527017.99719902	6280748.56246682	131	0.095	8.33	0.131	12.3	7.2	60.41	92.6	0	2.128	12.9	60.3	14.4	819	1290	299	223.2	166	797	0.208281053952321	1.16938135955632	46
"47"	4515667.20688283	6260130.02505222	135	0.178	21.39	0.221	12.7	6.7	87.71	188.7	0.5	4.672	17.4	68	12.7	1092	1120	299	444	167	785	0.212738853503185	1.17248213723457	47
"48"	4521372.62905173	6242676.03345589	125	0.125	19.21	0.175	14.8	6.4	25.25	158.6	1.3	2.122	21.4	37.8	18.9	702	1120	322	456	165	780	0.211538461538462	1.23256026117785	48
"49"	4519437.97519018	6209238.37839445	122	0.1	13.85	0.13	16.1	6.4	18.81	274.1	1.1	1.538	20.2	48	22	507	2246	46	328.8	164	763	0.214941022280472	1.36609165380237	49
"50"	4497503.29131652	6596071.23152845	81	4.56	13.33	0.15	19.13	6.2	104.67	194.7	1.8	3.346	20.9	17.8	12.3	1014	3740	598	1176	183	844	0.216824644549763	0.936093359170335	50
"51"	4498859.00360144	6583522.70211694	88	6.289	20.75	0.22	28.2	6	88.32	184.2	3.3	3.36	28.4	17.3	34	897	4140	92	1176	182	843	0.215895610913405	1.45861502269952	51
"52"	4496546.38855541	6555436.12748765	120	0.087	13.42	0.13	19.9	7.4	84.23	191.3	1.2	1.207	22.3	13.9	25	1053	1720	69	504	179	836	0.214114832535885	1.27256559579155	52
"53"	4502726.1604642	6523464.71892485	142	0.096	11.02	0.13	13.9	6.9	58.47	162.1	1.5	0.82	18.4	34.9	21.3	819	1820	230	276	175	832	0.210336538461538	1.02245092770255	53
"54"	4504968.34733896	6497317.86018186	153	0.173	12.8	0.11	18.4	7	34.45	169.2	1.7	0.171	20.7	15.2	23.1	858	1544	253	614.4	173	823	0.210206561360875	1.14740245283754	54
"55"	4493623.69947976	6469825.26314358	168	0.13	17.01	0.19	14	6.8	90.36	175.7	1.8	3.383	23.3	12.7	26.7	1053	1940	299	648	171	805	0.212422360248447	1.25846098961001	55
"56"	4503025.91036416	6459965.36918619	165	0.156	13.29	0.12	16.3	7	35.88	191.1	0.5	0.345	18.7	11.8	0.1	936	1460	299	396	171	807	0.211895910780669	0.978326122793608	56
"57"	4491395.2380952	6442928.4144046	184	0.183	18.03	0.16	16.4	6.9	69.61	191.2	1.2	1.623	21.8	18	20.2	858	1850	253	424.8	170	787	0.216010165184244	1.14740245283754	57
"58"	4501034.40607122	6418403.92397463	160	0.18	5.64	0.08	13.4	8.6	20.65	166.5	0.3	1.056	20	24.1	12.9	936	2540	552	592.8	169	783	0.215836526181354	0.771488680766503	58
"59"	4503838.76550622	6399761.58767472	158	0.0881	18	0.18	22.1	6.2	68.28	188.7	3.7	3.841	33	5.8	36.9	1014	2540	368	588	167	790	0.211392405063291	1.09192330051731	59
"60"	4500937.26490597	6378052.20392162	146	0.26	12.55	0.13	12.2	7	68.79	98.5	2.1	1.075	21.8	22.8	21.3	858	1286	299	576	168	798	0.210526315789474	1.10856261952128	60
"61"	4500781.30252101	6334416.73973675	122	0.245	13.32	0.14	15.6	5.6	34.14	100.1	0.4	0.912	20	36.8	18.8	780	1686	253	282	169	804	0.210199004975124	1.06471073699243	61
"62"	4499571.84873949	6292865.92941338	122	0.429	11.08	0.107	11.3	6.11	17.89	155.4	0.1	0.417	14	62.8	14.4	819	1362	115	132	169	797	0.212045169385194	1.03318448334565	62
"63"	4495629.03161262	6254687.76814955	127	0.128	12.59	0.121	12.9	5.72	13.19	109	1	0.006	13.5	63.6	17.6	655.2	1366	29.9	302.4	167	778	0.214652956298201	0.940007258491471	63
"64"	4502251.30052022	6229268.22033087	134	0.09	15.67	0.161	16	6.6	116.94	127.1	0.7	2.114	18.1	52.6	15.7	920.4	1488	29.9	141.6	166	765	0.216993464052288	1.02245092770255	64
"65"	4501314.52581033	6200560.2571461	129	0.38	14.27	0.15	14.7	7.3	34.55	232.8	1.4	0.663	16.2	51.5	18	819	1930	414	308.4	165	748	0.220588235294118	1.26129787094521	65
"66"	4467080.59504289	6666535.07457692	103	3.52	19.35	0.21	20.1	7.2	130.03	203	2	1.656	17.9	32	21	1092	3640	1104	915.6	191	821	0.232643118148599	1.40107157011786	66
"67"	4454239.30536861	6632920.03638117	119	0.119	6.59	0.07	13.8	7.1	50.91	186.8	0.1	0.385	12.6	52.4	16.3	702	1868	253	182.4	187	809	0.23114956736712	1.24126858906963	67
"68"	4459935.14892304	6581953.57301121	120	0.12	17.26	0.15	18.4	7.5	42.42	318.6	3	1.36	19.6	31.9	23.8	819	2340	46	482.4	181	814	0.222358722358722	1.40854497005471	68
"69"	4462460.67306304	6557610.99899102	165	0.167	14.54	0.19	15.05	7.2	44.77	197.4	2.3	1.326	17.9	41.4	23.3	881.4	2746	6.9	76.8	178	820	0.217073170731707	1.33500106673234	69
"70"	4462224.37376287	6500835.97613086	228	0.15	10.13	0.15	20.8	7.5	29.34	205.8	2.1	0.272	19.7	17.4	24	936	2808	69	476.4	173	807	0.214374225526642	1.19392246847243	70
"71"	4460321.34088452	6457818.44539303	235	0.09	9.84	0.12	17.5	7.4	90.16	174.7	2.8	0.107	17.8	21.8	18.9	1170	2266	46	258	171	785	0.217834394904459	1.12492959698548	71
"72"	4459323.26754897	6416551.34959699	229	0.11	8.28	0.11	11.7	7.2	125.73	162.3	0.5	0.006	15.3	30.3	19.5	819	1868	115	189.6	169	770	0.219480519480519	1.20297230399235	72
"73"	4460799.61215189	6380693.08694008	191	0.85	13.895	0.15	17	7.2	20.14	171.1	2.8	4.361	15.2	45.3	14.9	1872	3084	667	406.8	170	778	0.218508997429306	1.26694760348732	73
"74"	4464215.1186437	6338712.80919487	158	0.35	11.38	0.13	10.3	6.7	19.42	93.3	0.1	0.006	13.4	45.7	17.1	819	1376	230	432	170	799	0.212765957446809	1.24703229378638	74
"75"	4465249.7666954	6297129.80757628	146	0.095	13.38	0.11	12.35	5.69	36.49	91.8	0.6	1.077	14.9	59.6	12.9	768.3	1102	4.6	319.2	170	802	0.211970074812968	1.4655675420144	75
"76"	4431116.5954711	6694309.83764607	370	0.125	12.78	0.15	24.6	6.8	79.94	312.6	1.8	1.213	27.3	12.4	31.5	624	1554	276	435.6	182	822	0.221411192214112	0.969787870362327	76
"77"	4414875.58609538	6656688.52769456	442	0.31	24.22	0.2	26.7	6.9	71.86	216	1.1	1.314	21.9	15.1	26.9	858	3380	92	460.8	176	752	0.234042553191489	1.43230880523072	77
"78"	4423636.31601582	6616820.71225069	308	0.23	17.06	0.06	21.5	6.2	83.72	309.7	1.7	1.58	25.9	10.5	31.5	975	2820	276	612	176	773	0.227684346701164	1.0681530811834	78
"79"	4418207.73324824	6594414.75268475	338	0.201	17.37	0.17	26.7	5.9	35.37	201.7	0.4	0.633	23.7	17.7	27.8	741	2600	276	420	172	773	0.222509702457956	1.34772530157427	79
"80"	4414860.9787181	6576011.43354327	362	0.17	17.94	0.15	21.22	7	63.58	292.7	1.5	0.449	22.4	10.7	27.3	889.2	2844	4.6	244.8	169	780	0.216666666666667	1.39096229061518	80
"81"	4419607.65210935	6535906.19203854	314	0.34	14.49	0.13	15.9	6.9	48.96	208.2	1.7	0.416	21.1	10.1	27.5	780	2636	299	510	172	794	0.216624685138539	1.21491274436427	81
"82"	4419384.51741067	6497499.9216316	333	0.16905	19.5	0.18	11.7	6.7	52.34	194.4	1	2.084	21.7	24.8	22.1	975	1666	92	302.4	173	777	0.222651222651223	1.31640823365572	82
"83"	4419696.96948	6457579.71325101	329	0.1085	9.34	0.07	16	6.5	17.89	129	1.3	0.006	15.4	28.1	16.4	663	2160	299	110.4	170	780	0.217948717948718	0.887891257352457	83
"84"	4419854.38603514	6437618.77780367	327	0.04815	9.58	0.05	9	7	36.19	123.5	1.6	0.164	10.2	69.3	30.7	312	1260	253	228	168	785	0.214012738853503	0.893783511481574	84
"85"	4422524.7396163	6417530.87047555	308	0.13125	13.76	0.1	11.5	6.7	10.53	135.7	2.2	0.006	20.2	35.3	18.1	585	1980	69	568.8	168	786	0.213740458015267	1.20047257958026	85
"86"	4420091.27475627	6377610.13492766	307	0.142	13.51	0.117	10	5.99	25.45	126.2	1.4	0.758	19.1	46.4	18.6	663	1288	253	292.8	169	798	0.211779448621554	1.30587809129528	86
"87"	4425141.08701416	6345256.04466445	257	0.1	12.13	0.118	13.18	6.19	13.29	93.6	0.7	0.286	13.9	64.1	13.9	936	1450	6.9	253.2	171	809	0.211372064276885	1.16979779224613	87
"88"	4423517.02202601	6312692.44345608	250	0.089	11.77	0.098	11.9	5.31	33.02	65.7	0.2	0.006	12.7	69.1	11.1	600.6	1116	6.9	184.8	171	811	0.210850801479655	0.481581031433136	88
"89"	4420643.77837165	6277549.26988267	209	0.081	11.75	0.11	12.6	5.45	26.68	89.7	0.4	0.006	13.1	60	13.6	729.3	1328	6.9	218.4	171	798	0.214285714285714	1.13819469649814	89
"90"	4421856.90174633	6181029.08035171	152	0.1107	7.32	0.11	12.6	6.2	17.68	109.4	1.5	0.779	13.9	66.3	15.5	585	2328	299	336	169	724	0.233425414364641	0.64028182119378	90
"91"	4415080.3721484	6136770.69132085	145	0.161625	12.67	0.15	13.1	6.4	56.73	87.9	0.6	1.996	15.1	62.3	13.1	858	1400	368	336	167	692	0.241329479768786	0.231111720963387	91
"92"	4365332.92227296	6696621.36907579	738	0.55	14.82	0.13	22	6.9	28.01	244.7	1.4	0.186	26.4	21.5	26.9	741	3640	299	915.6	201	575	0.349565217391304	0.357205406027055	92
"93"	4376990.83088957	6636814.62642534	755	0.385	21.14	0.18	22.1	7	142.29	217.1	1.7	0.941	19.6	41.5	23.4	702	3520	299	334.8	152	659	0.230652503793627	0.79676155934802	93
"94"	4382566.15646209	6619634.25673805	726	0.1458	15.74	0.16	20.9	6.8	20.75	203.4	1.7	0.006	19.7	24.8	26	702	2528	276	230.4	157	676	0.232248520710059	0.182321556793955	94
"95"	4379599.04184246	6575073.2372567	714	0.1587	25.13	0.33	18.5	6.7	30.97	58.7	0.3	4.823	16.9	59.7	19.5	507	3988	253	24	142	713	0.199158485273492	1.20896034583698	95
"96"	4377903.12598507	6556981.99931131	706	0.1323	27.61	0.32	19.4	6.9	51.21	68.8	0	0.388	15.1	63.5	16.1	234	2660	299	486	148	717	0.206415620641562	1.08704387483659	96
"97"	4378600.01302481	6497101.96687984	477	0.1156	18.56	0.17	22.9	7	65.73	204.4	1.7	1.103	26.8	5.4	27.2	975	3148	368	168	173	682	0.25366568914956	0.667829372575655	97
"98"	4378834.713885	6477140.88939392	457	0.1305	18.66	0.14	21.1	7.1	22.49	210.6	2.2	0.22	23.1	18.9	26.2	819	2984	345	361.2	172	690	0.249275362318841	0.488580014818671	98
"99"	4374563.99562773	6395205.15886483	657	0.0955	13.09	0.112	13.9	7.4	12.16	94.8	1	0.006	15.9	51.5	12.4	585	2500	299	266.4	159	739	0.215155615696888	0.56613996934385	99
"100"	4378073.26828224	6374703.65783644	529	0.07	9.67	0.085	11.12	7.4	42.73	69.7	0.4	0.006	11	68.4	8.5	624	1488	4.6	252	164	772	0.212435233160622	0.44779082463543	100
"101"	4371560.9504608	6362022.6808671	520	0.0915	16.39	0.133	15.6	6.4	11.96	89.9	1.1	1.007	18.9	47.1	12.9	897	1960	253	435.6	165	779	0.21181001283697	0.85548694929509	101
"102"	4374282.09464182	6318082.34498854	385	0.1	14.2	0.134	16.5	6.4	39.97	112.6	2.1	1.815	18.7	49.1	19	897	1740	276	444	170	804	0.211442786069652	0.89351284853484	102
"103"	4381585.59157022	6292795.39873884	290	0.0755	9.29	0.077	9.1	6.7	81.67	98.3	0.1	0.764	10	63.4	10.2	780	800	299	132	171	787	0.21728081321474	0.43149202744983	103
"104"	4385622.70908304	6224369.63089517	199	0.11	9.76	0.08	11.8	6	37.11	68.4	1.1	0.614	10.1	71.4	13	507	1524	299	196.8	170	731	0.232558139534884	0.0295588022415444	104
"105"	4372869.90796252	6202142.85018327	209	0.085425	8.07	0.07	10.4	6.6	40.58	35.2	0.8	0.458	9.7	77.5	11.8	585	1902	23	33.6	170	696	0.244252873563218	-0.0100503358535015	105
"106"	4379578.85153997	6135138.15830766	175	0.19145	8.82	0.1	12.6	7.7	19.07	133.3	2.2	0.006	15.2	8.7	33.2	858	3180	322	360	168	661	0.254160363086233	0	106
"107"	4362017.30434745	6681834.45268225	362	0.18	20.8	0.25	16.4	7.6	11.52	99.6	2.1	0.049	17.2	53.9	17.1	351	3218	345	250.8	196	563	0.348134991119005	0.606101947116483	107
"108"	4356970.91006982	6628275.37719619	684	0.265	21.54	0.28	19.1	7.7	47.03	292	2.5	1.68	22.8	39.8	18.7	663	3522	253	243.6	168	597	0.281407035175879	0.67274459276097	108
"109"	4357779.6629562	6595635.41442217	1079	0.236	59.33	0.521	27.5	7.4	15.77	192.9	2	9.842	27.8	56.7	16.7	425.1	8196	16.1	192	140	647	0.216383307573416	2.41866205838428	109
"110"	4357124.10997854	6576685.04614555	1069	0.175	31.89	0.346	21.5	7.5	7.37	63.7	2	6.972	20	70.4	10.5	273	7006	276	486	138	666	0.207207207207207	1.46809063391085	110
"111"	4364805.74388899	6456978.67266916	592	0.115	14.55	0.13	18	7.2	44.26	171.9	2.3	0.458	16.9	26.7	25.4	663	1884	276	360	162	659	0.245827010622155	0.245076948758208	111
"112"	4352315.5362138	6437776.30356033	537	0.09	14.56	0.15	19.8	7.5	10.77	158.2	2.8	0.006	22.2	34.4	18.4	663	1980	207	568.8	168	646	0.260061919504644	-0.083381608939051	112
"113"	4367971.01642672	6297784.32210152	350	0.156	15.28	0.171	13.5	6.2	78.3	97.3	1.1	3.771	15.2	48.7	19.4	1170	1102	253	250.8	170	779	0.218228498074454	0.5239839944415	113
"114"	4356738.98174819	6282078.83264619	344	0.091	9.52	0.11	14.1	6.4	166.21	111.1	1.7	0.74	15.1	57.2	18.2	624	800	46	132	169	751	0.225033288948069	0.300104592450338	114
"115"	4360784.96009566	6258888.07860776	291	0.1683	12.47	0.13	14.7	6	42.93	104.6	1.4	0.874	16.1	53.7	19.7	702	2608	276	435.6	170	734	0.231607629427793	0.489955495463728	115
"116"	4365004.9719881	6218154.36478883	239	0.0881	7.04	0.06	8.2	6.4	19.93	25	0.7	1.54	5.5	85.5	10.5	468	1478	299	277.2	169	701	0.241084165477889	0.0392207131532813	116
"117"	4372864.52962826	6202139.00402638	228	0.05395	6.75	0.06	8.4	6.8	55.81	43.8	0.9	0.944	7.2	79.2	8.4	585	1456	230	422.4	170	696	0.244252873563218	0.35603151569357	117
"118"	4321962.85514134	6722852.63408684	190	18.8425	2.75	0.05	21.8	8	19.55	204.1	1.8	0.654	27.3	11.4	44.6	741	4298	10856	487.2	208	489	0.425357873210634	0.683096844706444	118
"119"	4333875.87034745	6663755.74533257	194	13.505	5.91	0.06	15.5	7.9	0.94	133.4	2.1	0.006	20.5	33.9	27.1	721.5	12084	825.7	424.8	205	508	0.403543307086614	0.0582689081239758	119
"120"	4339423.15926303	6636760.6072779	419	0.275	17.03	0.17	18.3	7.4	27.01	170.4	1.7	0.006	17.8	49.2	20.8	546	4040	276	600	190	532	0.357142857142857	0.27002713721306	120
"121"	4351214.51450179	6477918.84293992	772	0.158	36.05	0.32	29.6	6.4	14.21	155.9	4.3	3.606	34	8.7	33.2	741	4928	299	348	161	647	0.248840803709428	1.17076745997563	121
"122"	4358302.15085968	6423453.52444896	565	0.1	11.37	0.09	12.4	6.6	25.02	150.5	2.1	0.006	14.2	42.4	9.5	819	3524	322	429.6	165	667	0.247376311844078	-0.150822889734584	122
"123"	4338070.44649866	6377196.81471461	864	0.075	23.57	0.235	17.1	6.7	5.38	78.7	2	0.006	20.9	38.5	18.1	663	2810	345	250.8	152	708	0.214689265536723	0.661774426188609	123
